what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1359327744955
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1359327744956
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1359327744957
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1359327744957
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1359327744958
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1359327744958
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1359327744959
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1359327744959
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1359327744960
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1359327744961
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1359327744961
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1359327744962
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1359327744962
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1359327744963
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1359327744963
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1359327744964
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1359327744964
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1359327744965
started,bundle,org.eclipse.mylyn.bugzilla.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.bugzilla.core",1359327744965
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.bugzilla.ui",1359327744966
started,bundle,org.eclipse.mylyn.commons.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.core",1359327744966
started,bundle,org.eclipse.mylyn.commons.net,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.net",1359327744966
started,bundle,org.eclipse.mylyn.commons.notifications.core,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.core",1359327744966
started,bundle,org.eclipse.mylyn.commons.notifications.feed,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.feed",1359327744967
started,bundle,org.eclipse.mylyn.commons.notifications.ui,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.ui",1359327744967
started,bundle,org.eclipse.mylyn.commons.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.ui",1359327744968
started,bundle,org.eclipse.mylyn.commons.workbench,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.workbench",1359327744968
started,bundle,org.eclipse.mylyn.context.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.core",1359327744968
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.tasks.ui",1359327744969
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.monitor.ui",1359327744969
started,bundle,org.eclipse.mylyn.tasks.index.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.index.core",1359327744970
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui",1359327744970
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1359327744971
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1359327744971
os,sysinfo,,,"macosx",1359327744974
arch,sysinfo,,,"x86_64",1359327744974
ws,sysinfo,,,"cocoa",1359327744974
locale,sysinfo,,,"en_US",1359327744974
processors,sysinfo,,,"8",1359327744974
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1359327744974
java.runtime.version,sysinfo,,,"1.6.0_35-b10-428-11M3811",1359327744974
java.specification.name,sysinfo,,,"Java Platform API Specification",1359327744974
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1359327744974
java.specification.version,sysinfo,,,"1.6",1359327744974
java.vendor,sysinfo,,,"Apple Inc.",1359327744974
java.version,sysinfo,,,"1.6.0_35",1359327744974
java.vm.info,sysinfo,,,"mixed mode",1359327744974
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1359327744974
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1359327744974
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1359327744974
java.vm.specification.version,sysinfo,,,"1.0",1359327744974
java.vm.vendor,sysinfo,,,"Apple Inc.",1359327744974
java.vm.version,sysinfo,,,"20.10-b01-428",1359327744974
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1359327745375
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1359327745376
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1359327755085
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1359327756667
